00006921-02_4_full;90,76,65;226,226,228;230,191,158
00005212-03_1_front;247,194,180;157,40,48;227,187,161
00001801-02_4_full;255,255,255;232,239,247;244,212,187
00003786-02_7_additional;53,55,80;23,40,47;241,210,190
00001535-01_4_full;155,180,210;37,41,50;225,192,175
00003609-02_7_additional;229,229,231;17,17,17;204,158,132
00006863-53_4_full;156,50,151;46,40,40;235,195,159
00001011-05_7_additional;248,248,250;41,47,73;211,165,142
00001795-01_1_front;245,241,240;47,37,38;244,207,188
00001818-01_7_additional;203,192,174;30,24,36;208,163,124
00003885-05_7_additional;39,39,41;244,245,249;240,222,202
00001720-04_4_full;252,252,252;237,236,241;196,144,122
00002948-02_4_full;234,234,236;238,237,235;205,152,121
00007781-02_1_front;231,223,210;15,14,12;246,230,217
00007474-02_4_full;212,211,216;10,14,17;239,213,200
00005000-05_1_front;239,238,233;31,31,33;194,142,103
00006154-01_4_full;35,33,38;85,80,86;200,139,108
00001650-02_1_front;183,175,186;104,88,101;236,207,189
00002198-02_4_full;69,111,149;29,30,35;220,184,160
00005506-01_1_front;246,246,246;195,202,212;232,197,177
00006982-05_1_front;224,218,218;47,45,50;217,187,176
00006712-02_1_front;228,226,227;42,32,31;210,155,124
00002225-02_1_front;85,87,102;161,160,166;234,194,169
00000533-05_7_additional;220,211,202;68,100,138;230,194,170
00001299-02_4_full;244,242,243;90,114,138;231,203,182
00007923-04_4_full;135,38,49;209,218,225;235,208,187
00004558-03_4_full;228,236,238;31,58,88;208,174,147
00001877-06_4_full;47,44,53;133,150,168;225,171,135
00007383-04_4_full;106,123,130;50,55,77;228,180,158
00007282-04_4_full;255,255,253;39,34,31;248,221,191
00000198-01_1_front;43,40,35;235,235,235;231,187,150
00000622-02_7_additional;242,240,243;26,25,21;235,208,189
00004468-01_4_full;243,236,230;21,20,16;229,199,175
00005602-03_7_additional;234,138,140;174,191,207;229,194,172
00002655-01_1_front;248,249,244;250,250,248;182,120,73
00004736-08_4_full;225,220,191;232,231,229;218,183,164
00000512-06_4_full;255,221,219;41,62,91;236,200,176
00006798-02_7_additional;218,205,197;17,24,32;244,213,185
00000780-01_7_additional;34,33,39;106,101,107;192,144,121
00006559-02_1_front;215,215,217;21,21,13;231,194,168
00001381-01_7_additional;35,30,36;50,45,49;224,177,151
00003761-01_7_additional;38,40,39;41,40,35;231,200,180
00001202-06_1_front;237,238,242;127,155,177;230,201,183
00005874-02_4_full;247,245,246;36,32,29;234,196,173
00000839-03_1_front;37,37,39;34,37,44;212,164,144
00001663-02_1_front;234,228,230;81,95,122;207,150,121
00007225-01_4_full;104,78,87;19,20,25;232,206,191
00001863-04_4_full;162,161,166;165,187,210;252,225,196
00006061-03_4_full;24,20,17;15,14,10;208,165,146
00007061-04_4_full;40,40,42;34,34,34;229,197,176
00005601-02_4_full;237,206,160;49,18,0;238,195,153
00005085-50_4_full;1,216,201;178,180,193;230,176,148
00004944-02_4_full;8,6,7;250,249,245;228,192,168
00001301-02_4_full;246,246,246;33,28,32;244,217,198
00005791-01_4_full;231,230,236;28,28,30;204,148,121
00005501-02_1_front;230,228,229;231,235,238;207,154,122
00005369-06_4_full;251,240,236;249,244,241;229,183,149
00002034-01_4_full;11,11,9;12,12,10;214,166,130
00004726-01_4_full;161,160,166;24,24,24;241,224,214
00007258-02_1_front;183,211,232;206,205,210;200,141,107
00002121-27_7_additional;157,21,41;28,36,55;225,197,176
00000221-03_1_front;237,237,237;32,33,37;227,191,165
00000258-05_7_additional;34,31,52;89,121,159;222,179,147
00002466-02_4_full;197,115,42;51,76,116;224,183,163
00001777-04_4_full;50,49,55;63,66,73;220,177,158
00007116-03_4_full;185,184,182;45,43,46;237,207,183
00007833-02_7_additional;48,47,53;183,191,214;217,163,125
00006317-03_4_full;231,164,158;17,16,12;232,200,177
00006015-03_4_full;172,156,143;60,91,122;220,179,157
00004478-03_4_full;249,247,248;240,245,241;243,209,181
00007012-05_7_additional;109,103,77;42,54,78;219,169,142
00007275-01_1_front;70,62,59;16,12,9;234,207,188
00001696-05_1_front;201,172,158;242,235,229;221,172,142
00000508-01_4_full;248,248,248;51,47,48;234,177,134
00006982-06_4_full;126,26,38;42,38,39;237,206,186
00006133-01_4_full;43,36,30;95,90,94;255,233,202
00003719-03_4_full;240,238,239;56,56,64;208,175,166
00007752-06_4_full;240,248,250;76,110,147;236,210,185
00002855-03_4_full;58,59,54;216,227,233;228,194,169
00001973-03_4_full;134,129,136;23,25,38;243,217,194
00000276-04_4_full;30,30,38;208,213,217;229,192,166
00000129-01_4_full;235,234,232;235,235,235;162,102,65
00005302-01_4_full;97,101,113;35,34,42;244,207,189
00006599-02_7_additional;21,14,8;25,26,21;171,105,70
00002617-06_4_full;144,141,126;76,113,142;208,158,131
00001285-02_1_front;233,231,234;47,46,54;219,174,151
00005558-03_4_full;216,202,193;5,5,5;134,77,48
00007175-10_1_front;252,251,247;143,41,52;234,194,158
00002935-01_1_front;235,233,234;29,60,104;239,229,220
00005370-08_1_front;248,211,140;182,195,204;227,188,155
00002617-03_4_full;106,104,107;115,138,154;206,154,130
00003876-06_1_front;233,231,236;197,190,180;214,172,148
00001354-03_4_full;244,242,247;50,86,136;236,217,203
00007173-03_7_additional;41,39,40;39,39,39;221,174,148
00000367-01_7_additional;234,232,237;13,13,13;233,200,181
00006798-02_1_front;208,194,185;18,27,36;240,208,185
00000380-03_4_full;33,33,33;17,25,36;245,220,198
00001071-10_4_full;0,164,215;234,234,234;227,193,168
00007507-05_1_front;241,239,240;45,44,40;233,202,182
00003808-02_4_full;29,36,55;20,30,42;234,203,175
00007682-08_1_front;223,218,224;61,3,2;220,167,133
00006088-02_1_front;15,10,6;25,51,84;213,162,135
00003629-03_4_full;245,243,244;34,29,33;227,173,137
00007476-03_4_full;52,52,54;161,183,206;174,114,78
00000239-02_4_full;243,241,242;40,39,45;233,188,165
00005621-01_4_full;242,240,241;11,27,43;236,201,171
00003793-04_4_full;246,245,243;43,36,26;217,171,148
00002120-02_4_full;42,41,47;74,102,142;198,153,122
00003523-53_4_full;85,80,51;127,148,179;250,217,184
00001676-02_1_front;23,23,23;49,47,24;237,201,175
00000777-01_7_additional;21,20,16;24,23,19;226,190,164
00006318-02_1_front;43,44,65;200,213,222;223,181,157
00005065-01_4_full;33,27,31;39,33,37;252,217,179
00006031-02_1_front;31,30,26;58,89,120;211,152,122
00001410-01_4_full;239,239,241;161,175,188;222,190,175
00007032-06_7_additional;210,189,168;18,18,16;226,181,158
00002557-04_4_full;226,231,237;148,53,61;214,167,151
00005892-05_1_front;180,175,169;10,10,8;238,215,207
00002688-06_4_full;33,28,25;30,31,35;245,200,159
00002543-02_4_full;231,229,230;9,9,7;203,149,115
00000733-01_4_full;251,250,248;50,51,56;221,190,169
00001742-02_4_full;82,123,167;235,234,230;136,76,50
00001369-02_1_front;236,234,239;12,11,9;177,130,112
00007310-03_7_additional;236,232,229;60,95,123;219,176,144
00003798-02_7_additional;105,97,134;33,32,37;219,159,125
00002906-04_4_full;191,187,188;240,239,237;218,177,149
00005837-07_4_full;62,65,70;42,43,47;229,200,182
00002162-30_7_additional;145,22,42;31,29,34;218,169,139
00007159-06_7_additional;232,214,210;62,56,58;200,149,128
00007982-11_7_additional;17,83,105;43,39,40;202,142,106
00001832-02_4_full;237,243,255;179,194,199;236,206,180
00002343-03_4_full;17,73,122;242,240,241;202,151,132
00001925-05_4_full;182,136,165;28,34,48;223,171,132
00000220-02_1_front;180,171,176;15,14,10;236,201,181
00002089-01_1_front;37,36,41;119,143,177;212,165,139
00007776-02_7_additional;77,68,53;58,56,61;205,163,149
00006509-02_4_full;236,232,229;128,162,189;244,217,198
00007670-04_4_full;34,34,36;25,26,21;214,158,121
00001212-34_4_full;168,163,169;181,190,199;250,219,191
00001169-01_1_front;162,159,176;35,38,55;229,197,176
00000350-02_4_full;56,56,64;11,13,12;217,166,145
00004386-03_4_full;248,247,253;31,38,57;226,184,159
00006317-10_7_additional;230,210,160;125,156,177;214,169,148
00006129-04_4_full;227,220,214;144,158,161;188,123,81
00001635-07_7_additional;231,230,226;23,27,30;157,100,81
00004477-03_4_full;52,51,46;47,44,51;229,176,144
00001580-02_1_front;28,38,50;90,121,165;202,151,130
00006120-03_1_front;230,230,232;38,44,60;219,187,172
00003621-02_1_front;229,229,229;193,210,220;220,188,165
00007907-05_1_front;217,204,196;48,81,122;230,192,171
00001898-02_1_front;225,230,234;200,211,217;246,224,211
00000570-01_4_full;239,238,244;30,30,30;188,123,93
00000738-02_4_full;71,66,72;46,44,49;199,151,128
00006377-09_4_full;138,31,49;158,192,227;247,213,186
00002072-01_4_full;24,7,0;21,20,15;238,198,163
00002850-02_7_additional;33,34,36;213,146,55;228,193,173
00007366-03_7_additional;205,197,210;171,188,208;224,181,165
00002207-03_7_additional;24,24,26;23,23,25;208,154,116
00000267-03_7_additional;33,31,32;172,189,197;241,210,189
00003751-02_4_full;90,89,97;32,31,29;211,170,140
00001824-01_4_full;208,206,209;124,144,168;230,184,160
00007208-02_4_full;244,249,245;252,252,254;241,203,158
00002323-02_7_additional;22,19,14;17,16,12;221,175,141
00007907-05_7_additional;199,180,166;60,97,141;228,192,170
00007015-03_1_front;244,240,237;65,97,144;227,185,169
00003939-01_7_additional;247,244,239;14,21,29;234,198,166
00000050-03_1_front;147,128,130;13,20,39;236,217,203
00000520-03_7_additional;41,44,51;39,43,55;201,155,131
00000671-01_7_additional;29,28,33;31,30,36;214,172,147
00001024-04_4_full;251,251,251;45,41,40;238,196,158
00004280-09_4_full;210,222,234;241,241,243;237,216,199
00001212-06_4_full;31,28,35;177,196,211;246,222,198
00001171-02_7_additional;65,30,34;50,49,55;208,164,139
00000628-02_1_front;234,234,236;49,40,45;252,225,196
00007855-03_4_full;248,249,251;193,207,216;212,184,173
00006784-02_4_full;228,227,223;225,222,217;147,82,52
00002466-03_4_full;15,15,13;10,11,13;230,189,169
00007450-02_4_full;240,239,245;23,22,20;239,211,197
00001190-02_1_front;31,29,34;148,146,151;226,184,160
00007096-03_1_front;236,234,235;247,246,242;234,191,156
00006962-01_4_full;84,85,90;37,37,37;243,229,218
00007009-02_7_additional;184,137,109;45,47,46;197,149,113
00007502-05_1_front;242,240,241;41,74,117;233,195,174
00005836-03_7_additional;202,200,205;55,57,69;239,213,200
00007893-03_7_additional;197,85,110;196,209,218;230,195,173
00000797-02_4_full;248,244,241;74,102,141;247,220,201
00005610-02_4_full;231,170,89;226,226,228;216,169,143
00005085-26_4_full;226,217,210;215,218,227;243,182,153
00003693-03_1_front;179,183,192;65,69,81;199,157,133
00004200-01_4_full;234,232,235;26,30,31;237,216,199
00001726-04_4_full;250,248,233;249,249,251;224,167,124
00001306-01_4_full;238,233,229;209,206,201;128,69,51
00002635-02_1_front;180,181,186;40,43,52;212,166,140
00000692-01_4_full;109,99,89;212,223,225;250,219,190
00003320-02_1_front;33,32,28;230,226,225;237,203,175
00007106-01_1_front;255,255,255;233,232,238;230,185,154
00003129-01_1_front;244,242,243;142,157,160;226,188,165
00006200-01_4_full;242,240,243;169,192,206;236,204,189
00006955-01_1_front;33,31,34;50,50,58;216,183,164
00005577-01_4_full;219,217,218;58,76,98;222,174,151
00006371-05_4_full;34,32,35;50,48,53;202,174,152
00005214-02_4_full;117,133,159;41,71,105;231,197,172
00005731-01_1_front;241,237,234;86,109,153;213,156,129
00002366-01_7_additional;26,35,66;13,25,37;234,204,180
00003639-02_4_full;233,232,238;14,34,61;205,153,131
00002216-02_1_front;241,241,241;19,20,22;224,184,159
00007634-02_4_full;37,36,34;195,205,207;212,169,137
00003501-02_1_front;240,217,115;24,55,99;247,234,226
00000577-02_1_front;151,151,153;25,50,81;231,209,188
00000329-02_4_full;254,254,254;245,194,177;236,183,141
00001650-01_7_additional;145,128,118;73,132,162;240,212,191
00007903-10_1_front;75,71,60;29,30,35;196,158,135
00003678-03_4_full;255,236,107;27,21,21;232,174,137
00003523-02_4_full;250,250,252;55,69,104;234,181,141
00005726-02_4_full;14,18,19;56,91,129;127,75,51
00007552-02_1_front;227,223,222;16,24,35;231,195,173
00005074-03_4_full;246,243,238;152,66,65;232,183,143
00002673-01_7_additional;226,227,232;23,23,23;235,215,191
00006863-44_4_full;101,97,60;20,18,21;246,220,197
00001446-09_4_full;238,139,74;176,183,189;205,148,119
00002255-02_1_front;43,48,68;78,103,144;248,224,212
00002038-05_1_front;22,12,11;254,218,184;213,148,116
00006907-01_1_front;221,221,223;124,137,146;241,200,170
00006602-04_4_full;242,215,186;149,174,204;251,216,184
00002054-04_4_full;27,26,24;21,22,17;199,145,109
00003680-07_4_full;44,36,33;251,251,251;244,212,171
00005893-07_1_front;1,124,96;115,149,184;245,227,217
00002550-01_4_full;243,241,242;29,53,87;221,179,155
00004609-01_4_full;94,93,98;42,38,37;223,179,152
00002608-06_7_additional;185,184,189;145,171,186;216,172,145
00006685-01_7_additional;53,37,38;133,134,139;216,171,148
00005323-02_7_additional;210,210,218;13,12,10;209,164,135
00006922-02_7_additional;174,180,192;14,33,48;237,209,185
00005387-02_7_additional;242,228,219;139,170,198;226,190,168
00002505-01_4_full;7,7,5;14,20,32;193,140,108
00000275-02_7_additional;35,42,61;62,61,67;235,207,186
00006825-04_4_full;244,243,239;173,172,168;236,211,189
00000258-05_4_full;47,46,78;98,124,151;238,210,186
00004742-02_4_full;44,40,41;49,43,43;248,212,176
00003523-10_4_full;235,233,124;40,29,25;234,190,153
00007635-02_4_full;41,39,42;45,43,46;217,170,142
00004596-05_4_full;29,24,20;255,236,229;222,166,129
00006139-01_4_full;101,50,46;37,58,87;193,156,138
00002518-01_1_front;243,242,238;64,107,141;232,200,177
00000506-03_7_additional;255,238,231;18,17,22;231,185,161
00002703-05_4_full;32,28,25;182,201,215;222,180,155
00002201-01_7_additional;35,33,36;180,189,198;212,158,122
00006375-01_7_additional;242,237,241;215,213,216;226,198,176
00001332-01_4_full;89,89,91;19,20,25;144,88,63
00003318-06_4_full;238,230,207;160,177,185;220,170,137
00007903-09_1_front;108,31,41;29,28,34;183,137,113
00007054-06_4_full;250,249,255;23,22,18;194,131,98
00007366-03_4_full;203,192,206;194,203,218;214,170,159
00003205-01_1_front;35,28,35;106,125,157;224,175,158
00000112-06_7_additional;173,81,58;18,18,16;236,200,178
00002272-07_1_front;49,50,81;179,191,203;223,191,170
00006687-05_4_full;243,242,240;42,39,48;227,168,126
00000387-01_7_additional;255,251,255;8,12,15;253,241,229
00006675-11_1_front;32,28,27;116,78,67;230,199,179
00002398-02_1_front;167,117,94;32,29,24;231,200,172
00006080-07_7_additional;218,217,231;27,22,19;222,181,163
00002666-01_4_full;239,240,242;184,191,197;217,168,136
00003629-04_4_full;245,227,217;32,30,35;239,208,190
00002820-02_1_front;34,28,28;45,43,48;216,177,162
00001696-06_1_front;249,246,239;210,185,180;218,169,129
00004250-02_4_full;187,188,190;179,190,194;235,203,180
00005728-02_4_full;25,23,24;24,22,23;206,161,140
00000698-02_4_full;94,85,68;54,50,51;239,190,149
00001828-02_1_front;99,43,56;91,115,149;225,179,155
00000017-01_4_full;186,186,188;44,53,70;189,133,96
00005445-12_4_full;233,228,225;216,223,229;219,173,139
00003778-04_4_full;237,235,238;24,33,48;231,199,174
00002100-02_7_additional;198,196,199;155,189,216;212,162,127
00006433-14_4_full;39,40,44;46,45,43;211,165,142
00003351-02_7_additional;30,34,37;64,99,137;220,182,159
00004246-01_4_full;40,38,43;237,239,238;218,173,142
00001071-12_1_front;223,223,223;26,26,24;225,188,159
00005244-03_4_full;237,236,234;245,242,235;228,189,172
00006513-02_4_full;26,24,25;100,124,150;250,206,179
00003738-03_4_full;230,226,223;13,18,22;220,189,169
00005230-03_4_full;251,250,246;255,255,250;233,192,174
00002192-01_1_front;171,169,172;55,53,56;201,151,124
00007672-01_1_front;247,252,255;200,200,202;235,217,197
00000708-03_7_additional;22,51,83;11,11,11;215,166,134
00002280-01_1_front;26,30,33;40,44,47;146,101,78
00006729-02_1_front;149,147,152;252,252,254;229,190,159
00006250-03_1_front;228,227,233;15,26,88;223,192,172
00002678-37_7_additional;250,146,133;192,197,193;241,221,197
00006607-04_4_full;247,247,245;175,189,200;199,136,93
00001962-01_4_full;234,232,235;238,237,242;233,211,198
00005219-03_1_front;154,83,37;14,24,26;196,150,124
00007268-03_7_additional;235,232,227;95,135,184;228,192,176
00001310-01_1_front;212,149,132;221,220,225;230,198,177
00006602-11_4_full;0,117,127;30,32,45;219,179,153
00000286-03_1_front;238,242,245;238,242,245;223,199,187
00007276-03_1_front;237,203,201;223,223,223;235,195,169
00002826-05_4_full;245,200,39;29,29,31;245,214,186
00007721-47_4_full;254,123,129;50,46,47;240,204,170
00001967-02_1_front;71,71,69;27,27,25;195,147,109
00002334-05_4_full;193,240,234;47,43,42;243,214,184
00006263-02_1_front;28,28,26;12,12,10;244,217,196
00007507-04_4_full;22,21,17;236,236,236;226,195,175
00002865-01_4_full;239,237,240;187,203,216;163,114,97
00001962-02_4_full;255,202,194;230,228,231;229,198,177
00005618-03_1_front;162,176,202;36,32,29;229,193,171
00007022-21_4_full;200,21,43;245,249,252;250,224,201
00000856-01_1_front;27,26,24;8,8,6;244,210,185
00001212-11_4_full;255,204,200;172,190,204;237,202,164
00000676-02_1_front;228,209,194;36,57,86;214,176,157
00007629-06_4_full;225,234,239;194,202,205;210,178,157
00005439-01_4_full;52,46,46;55,47,45;243,191,151
00004146-03_4_full;246,246,248;166,200,225;227,181,145
00007933-02_7_additional;232,221,215;62,132,183;235,213,190
00000517-02_1_front;100,133,176;197,188,183;209,182,175
00003295-03_1_front;45,43,46;125,147,171;226,173,139
00003599-01_1_front;139,139,151;181,34,53;207,160,142
00005411-02_4_full;91,75,62;41,40,36;238,203,181
00007369-03_1_front;33,29,30;213,218,224;222,178,149
00007217-02_1_front;30,30,30;63,63,61;238,208,182
00001801-14_4_full;157,19,97;168,188,212;248,217,189
00003792-02_7_additional;242,242,242;42,74,123;233,192,162
00005017-34_4_full;255,254,255;223,222,227;246,214,189
00006225-02_7_additional;194,188,190;24,33,50;236,211,191
00002253-02_1_front;241,240,238;92,117,147;222,186,154
00005432-04_4_full;1,196,188;24,19,15;194,125,92
00006219-07_1_front;79,38,42;205,208,217;181,126,96
00000135-07_1_front;238,152,139;231,234,239;234,202,177
00002288-01_1_front;95,88,95;207,214,222;243,203,178
00005263-15_4_full;70,59,67;62,51,59;229,183,159
00003405-06_4_full;26,25,23;227,222,219;212,161,134
00003523-48_4_full;253,77,150;222,223,225;230,185,152
00002222-01_1_front;42,43,47;28,29,33;229,208,189
00002240-02_4_full;141,70,74;43,38,35;206,149,119
00006434-02_4_full;187,183,184;15,17,16;183,128,98
00007123-02_4_full;224,202,179;36,34,35;238,201,172
00002359-04_4_full;117,73,72;252,189,180;243,199,174
00002220-05_4_full;34,28,28;50,51,71;218,172,148
00006768-07_1_front;236,236,238;34,29,33;215,170,139
00007721-32_4_full;86,180,162;33,37,64;229,203,180
00006881-02_1_front;50,48,51;68,49,45;224,180,151
00000365-05_7_additional;243,241,242;82,106,142;208,162,129
00000210-02_1_front;245,244,240;32,33,37;198,146,106
00004677-04_4_full;237,226,220;39,34,38;226,177,145
00007085-02_1_front;31,25,27;232,227,224;221,188,173
00007720-03_1_front;31,25,25;115,135,160;204,151,120
00005269-07_1_front;212,147,65;222,229,235;236,199,173
00005085-27_4_full;255,95,103;249,240,231;241,187,149
00000521-02_7_additional;250,251,246;108,130,154;241,192,149
00003759-05_7_additional;246,244,245;26,26,26;234,192,170
00007890-02_1_front;239,248,247;224,215,198;223,175,139
00003889-02_4_full;62,49,79;233,232,228;203,149,113
00002393-02_7_additional;231,224,214;238,237,242;225,182,148
00001388-01_4_full;172,232,240;29,33,34;237,200,174
00002880-01_1_front;48,44,41;252,252,254;245,210,191
00001851-03_1_front;230,230,232;28,26,27;222,182,157
00005206-09_4_full;115,28,36;242,225,121;238,172,140
00005961-02_1_front;51,49,54;141,139,142;230,181,148
00005903-09_7_additional;220,216,213;23,23,25;225,185,160
00002121-11_4_full;4,86,80;33,31,32;182,126,89
00005272-07_1_front;238,236,239;54,52,57;220,171,139
00003523-65_1_front;131,56,147;111,135,169;237,206,186
00000322-06_1_front;53,52,48;236,177,59;244,220,196
00003454-05_4_full;229,225,222;132,150,174;235,181,137
00007510-02_1_front;30,30,32;41,41,43;207,153,119
00002121-05_7_additional;86,84,95;229,228,223;222,168,134
00001103-04_4_full;208,197,195;99,125,122;216,169,141
00001226-02_1_front;15,16,11;209,216,222;215,177,156
00003181-02_1_front;246,245,243;214,223,232;237,194,162
00001898-02_7_additional;223,228,231;178,196,206;236,201,179
00000081-01_1_front;212,126,99;20,21,23;196,150,127
00002885-07_7_additional;212,210,211;32,62,96;230,189,159
00003214-02_4_full;39,40,68;57,58,63;211,174,145
00007473-01_4_full;249,249,255;149,175,202;231,207,183
00004908-02_4_full;25,25,23;236,228,215;235,201,173
00006800-05_1_front;236,234,237;216,221,225;230,195,176
00001525-02_1_front;215,214,212;37,34,29;215,170,139
00001592-06_7_additional;255,228,235;8,9,11;201,166,144
00002162-70_1_front;9,54,122;23,22,27;225,179,146
00007914-04_4_full;109,46,63;156,173,189;218,176,151
00001209-01_1_front;190,190,192;51,84,119;240,209,188
00003281-04_4_full;87,78,83;59,54,58;206,160,136
00004430-05_4_full;226,216,207;195,196,201;229,195,170
00003195-08_1_front;245,241,242;239,238,244;207,152,122
00001384-04_4_full;240,239,237;41,43,64;234,192,167
00004350-01_4_full;42,36,36;118,59,61;209,160,127
00006717-03_7_additional;240,249,248;73,100,130;234,208,185
00000213-01_4_full;243,236,230;3,1,2;228,191,175
00007032-06_1_front;205,187,167;13,15,14;219,172,152
00000517-02_7_additional;125,158,199;225,225,227;190,160,150
00004979-01_4_full;100,94,70;68,63,59;198,142,95
00005612-06_4_full;82,7,12;13,20,26;238,215,197
00005851-02_4_full;37,36,41;48,46,51;236,200,174
00005602-01_1_front;24,25,27;133,161,183;220,184,160
00006223-01_1_front;27,26,24;20,11,14;211,161,134
00003233-03_7_additional;43,38,44;107,28,31;181,127,91
00001445-04_4_full;248,247,245;202,1,35;226,177,144
00007312-02_1_front;190,210,211;66,65,73;228,191,172
00005685-03_1_front;198,195,190;16,17,12;164,107,78
00001569-02_4_full;248,244,233;35,30,26;255,237,210
00004601-01_4_full;211,210,216;19,20,15;238,219,204
00006010-01_4_full;124,45,64;191,207,220;220,174,150
00001660-08_4_full;174,54,53;83,83,91;228,181,155
00005827-04_4_full;34,32,35;40,38,41;222,179,160
00003898-08_7_additional;209,226,242;27,39,55;172,108,73
00003950-06_7_additional;75,108,153;26,26,28;234,198,172
00003268-08_4_full;212,19,46;38,36,41;218,169,139
00000935-01_4_full;57,54,61;42,39,46;231,195,173
00002399-03_1_front;239,236,231;9,17,28;235,209,182
00005919-03_7_additional;40,39,53;181,193,209;223,171,160
00006065-01_1_front;241,237,234;97,121,145;137,86,55
00003687-02_4_full;34,24,23;39,58,91;254,217,190
00005123-01_4_full;236,234,235;136,167,195;223,190,171
00007221-12_4_full;48,47,53;44,42,47;215,154,125
00003583-08_1_front;220,215,212;255,98,91;225,159,124
00005759-01_4_full;255,253,218;255,255,255;244,196,156
00007239-01_1_front;251,250,248;68,64,63;250,237,228
00003474-03_4_full;235,231,228;11,12,16;220,171,138
00000708-03_1_front;54,92,131;17,18,22;215,174,142
00005300-02_4_full;31,32,34;237,237,239;230,202,181
00000895-01_7_additional;23,25,38;66,139,194;211,177,152
00003623-03_4_full;124,38,47;198,205,211;230,202,181
00006597-01_4_full;249,252,255;23,22,18;242,220,199
00003220-07_7_additional;39,34,38;138,98,86;129,87,75
00003523-22_4_full;255,250,247;33,33,45;250,216,189
00001424-04_4_full;74,64,63;245,244,240;251,221,195
00002262-06_1_front;227,223,222;61,49,37;228,183,150
00005909-02_7_additional;162,101,100;16,14,15;218,178,143
00000928-01_1_front;229,233,234;167,189,203;240,223,205
00002022-02_4_full;31,27,26;47,39,36;226,166,129
00006266-01_7_additional;203,202,200;32,61,93;217,185,172
00000026-05_7_additional;233,233,235;168,181,190;222,188,163
00006778-05_4_full;165,41,52;21,23,22;219,178,146
00000506-01_1_front;255,255,255;36,35,43;238,217,198
00006562-01_1_front;57,54,61;69,67,72;219,171,135
00000968-06_1_front;243,223,216;190,199,206;237,202,180
00007705-06_1_front;237,236,234;213,183,159;151,97,71
00006002-03_7_additional;36,36,38;24,29,35;207,166,146
00000865-03_4_full;188,188,188;43,38,42;233,183,158
00001822-01_1_front;238,234,233;38,62,98;231,190,158
00000159-06_4_full;255,199,162;112,127,166;222,164,124
00000970-02_4_full;82,31,36;50,49,54;225,178,148
00005339-02_1_front;42,42,44;29,38,55;222,195,176
00001393-02_4_full;160,187,182;124,162,199;233,192,172
00000222-01_1_front;38,33,39;43,51,74;207,156,127
00003789-01_7_additional;69,70,74;235,235,235;214,176,157
00001335-04_4_full;161,139,125;40,34,34;208,163,134
00001627-09_1_front;59,95,173;78,115,160;223,180,161
00001700-02_7_additional;244,241,236;78,108,142;241,219,196
00001330-01_1_front;230,228,229;29,29,29;222,182,156
00001123-01_4_full;32,36,37;26,28,27;212,161,134
00002121-32_7_additional;240,238,181;13,16,21;240,221,204
00006606-08_7_additional;227,236,245;51,89,125;244,221,203
00002015-02_7_additional;195,95,80;32,31,27;216,156,119
00006373-02_7_additional;29,27,32;53,11,13;195,142,126
00000187-07_1_front;35,36,41;24,27,32;219,178,158
00007899-10_4_full;62,61,67;42,37,41;218,173,144
00003528-05_1_front;237,236,232;54,55,59;220,177,158
00000567-02_1_front;45,49,26;168,110,62;216,178,159
00000573-10_1_front;112,113,133;39,37,42;220,174,148
00007338-02_1_front;28,22,22;42,40,53;236,184,144
00004804-01_4_full;241,241,243;148,167,174;231,196,168
00000330-01_1_front;89,29,31;30,30,30;225,170,139
00000717-04_4_full;217,210,204;34,33,38;226,170,135
00006970-02_4_full;228,223,217;49,41,39;220,166,122
00001210-03_1_front;240,241,243;187,202,207;227,191,165
00000551-02_4_full;253,253,253;65,62,57;244,190,146
00002246-03_4_full;135,33,46;31,26,30;131,91,81
00002630-02_7_additional;235,235,237;38,38,38;217,179,158
00003822-03_7_additional;236,235,241;12,22,32;233,199,171
00000587-01_7_additional;246,241,237;236,237,242;229,207,194
00003660-09_1_front;73,86,131;16,23,41;231,205,182
00000536-01_1_front;228,227,233;16,16,14;226,194,171
00005202-03_1_front;68,110,148;116,146,180;229,202,181
00001367-05_1_front;49,47,50;37,43,69;227,195,174
00000936-07_1_front;92,48,65;229,228,226;210,164,148
00005985-02_7_additional;206,206,206;37,32,28;222,179,145
00001212-32_4_full;172,167,173;210,213,218;252,233,218
00004943-02_4_full;29,29,29;243,241,244;237,200,174
00006769-07_1_front;249,230,172;33,40,48;244,204,169
00003420-04_4_full;236,229,211;233,231,234;228,183,150
00005212-02_7_additional;24,23,21;19,20,15;206,151,120
00006776-02_1_front;140,135,131;175,187,199;153,102,75
00003006-03_4_full;247,247,247;57,53,52;209,163,140
00001527-02_7_additional;41,39,44;44,42,47;224,170,144
00006266-01_1_front;245,241,242;45,79,116;237,209,188
00007655-02_4_full;33,31,36;38,40,52;220,174,141
00002201-12_4_full;229,203,188;168,178,187;233,189,154
00003672-07_4_full;97,89,66;253,253,253;240,187,143
00002715-01_7_additional;29,27,32;41,35,35;212,163,148
00000217-02_7_additional;45,44,52;76,71,77;224,182,168
00005859-01_1_front;45,40,36;227,231,232;238,176,139
00005369-05_1_front;255,255,255;255,173,133;212,145,103
00006501-02_7_additional;38,38,40;235,233,234;229,198,177
00001307-01_4_full;240,240,242;62,95,128;235,210,188
00000113-01_4_full;38,33,29;42,35,25;238,201,182
00007605-03_1_front;234,233,239;30,55,86;218,170,132
